plot_x_data,plot_y_data,plot_type
0,76.92460246917109,iteration
1,113.69755569978288,iteration
2,103.76406250415457,iteration
3,143.17363422408903,iteration
4,174.2038461267333,iteration
5,102.86628731213044,iteration
6,121.74823132126257,iteration
7,130.01454746494488,iteration
8,114.24471869040184,iteration
9,140.17290489351944,iteration
10,115.01547993407058,iteration
11,127.97808402138148,iteration
12,26.43120851008848,iteration
13,143.27403460924975,iteration
14,133.36700590798034,iteration
15,173.00053383160423,iteration
16,136.79637546977992,iteration
17,44.31687249550845,iteration
18,145.4001428196597,iteration
19,182.0509148825663,iteration
20,118.8166735601228,iteration
21,135.50224460170077,iteration
22,114.90879598940774,iteration
23,137.46459013558493,iteration
24,162.22130410399325,iteration
25,161.1497710893441,iteration
26,161.776848347447,iteration
27,100.82350048397343,iteration
28,162.6311712393853,iteration
29,166.83420097810722,iteration
30,179.7898762597211,iteration
31,190.7501310654266,iteration
32,175.52282623354554,iteration
33,170.4287671801591,iteration
34,136.42258893006587,iteration
35,119.0177398767274,iteration
36,129.2208861815252,iteration
37,135.47120671435914,iteration
38,130.05255383701953,iteration
39,132.55476409052514,iteration
40,128.9521388494566,iteration
41,124.9835565682524,iteration
42,136.0039134094679,iteration
43,148.60258000232747,iteration
44,175.7076954247945,iteration
45,114.58549078674469,iteration
46,120.3303584300286,iteration
47,106.55550566580544,iteration
48,129.24015179163126,iteration
49,108.89868992447596,iteration
50,107.25705306342935,iteration
51,141.17729142471717,iteration
52,160.09759403447148,iteration
53,122.19055545589886,iteration
54,123.20276105052884,iteration
55,112.9198930956378,iteration
56,120.79587589318828,iteration
57,123.39315531262145,iteration
58,97.80330954099736,iteration
59,105.00945014797728,iteration
60,109.91711488665588,iteration
61,106.99640893841712,iteration
62,142.62394703611525,iteration
63,165.34255637142073,iteration
64,160.85931173727047,iteration
65,201.0874602378321,iteration
66,187.37921573383085,iteration
67,229.6552246692247,iteration
68,207.8932980863009,iteration
69,175.79089893258708,iteration
70,186.58217139858027,iteration
71,196.69314451866725,iteration
72,111.13054599913744,iteration
73,129.93467316463665,iteration
74,220.9200023519033,iteration
75,153.18326188503443,iteration
76,146.93502744067112,iteration
77,157.41114611647131,iteration
78,140.04388306399142,iteration
79,177.42191661206738,iteration
80,177.42191661206738,iteration
81,106.80440664843223,iteration
82,133.3523103275077,iteration
83,93.6320043902063,iteration
84,93.6320043902063,iteration
85,93.6320043902063,iteration
86,129.9792585253733,iteration
87,102.91820073142624,iteration
88,128.37505675943015,iteration
89,93.097871250342,iteration
90,124.76627325433986,iteration
91,126.59774991954691,iteration
92,194.04894197539736,iteration
93,158.87861118826362,iteration
94,80.00673924529552,iteration
95,36.05634097130053,iteration
96,81.62156639565777,iteration
97,75.406575743702,iteration
98,41.72280742032575,iteration
99,88.99527430812763,iteration
100,135.1988704272429,iteration
101,114.58843582190885,iteration
102,132.89524231826795,iteration
103,148.8720713507648,iteration
104,139.3243422462446,iteration
105,142.49848503694338,iteration
106,142.33415209343437,iteration
107,128.80310998817347,iteration
108,133.1558184748743,iteration
109,145.9065227975024,iteration
110,150.9415783132483,iteration
111,169.19296520826745,iteration
112,127.86575503682666,iteration
113,48.28303624501216,iteration
114,3.694887159798762,iteration
115,4.9375042192558025,iteration
116,149.65949356987073,iteration
117,186.5005071773257,iteration
118,137.26708743402676,iteration
119,122.91108166357388,iteration
120,152.2902030465963,iteration
121,202.67030065672057,iteration
122,149.67425671273782,iteration
123,162.7322132969958,iteration
124,141.879618397957,iteration
125,107.3551090635683,iteration
126,98.49970091268123,iteration
127,128.58319536701023,iteration
128,148.1798517513011,iteration
129,153.7625517143276,iteration
130,105.6997568394196,iteration
131,123.58611534800647,iteration
132,180.2603268134439,iteration
133,133.577433668135,iteration
134,165.3605054003504,iteration
135,102.0764136131026,iteration
136,129.58935453525245,iteration
137,140.0785923455854,iteration
138,107.9965116835656,iteration
139,51.77439054801901,iteration
140,68.02861178915887,iteration
141,63.13070998768193,iteration
142,179.55890365057311,iteration
143,154.82540822083288,iteration
144,96.90397566247542,iteration
145,131.15020393953702,iteration
146,106.8294143413445,iteration
147,127.20268556195622,iteration
148,95.8617683784218,iteration
149,172.9292343189136,iteration
150,165.18375325001222,iteration
151,151.74842057312122,iteration
152,116.78514760652352,iteration
153,116.78514760652352,iteration
154,153.6159401946567,iteration
155,150.0348433980596,iteration
156,55.490673850134144,iteration
157,154.0926253821284,iteration
158,158.60271594464325,iteration
159,163.73795332545973,iteration
160,219.6786626554692,iteration
161,151.25259987097266,iteration
162,59.21857566817079,iteration
163,164.22054854372334,iteration
164,164.22054854372334,iteration
165,108.3254521003076,iteration
166,152.32468153642125,iteration
167,192.29411051597768,iteration
168,192.29411051597768,iteration
169,121.8749456452167,iteration
170,169.65466412180848,iteration
171,202.01836625900847,iteration
172,168.65041060774575,iteration
173,172.37531419844208,iteration
174,115.4574635058528,iteration
175,110.52772352931277,iteration
176,204.59140128152333,iteration
177,204.59140128152333,iteration
178,197.39113401015783,iteration
179,158.60715512709515,iteration
180,43.31260362508311,iteration
181,165.68583356264406,iteration
182,146.3141329217572,iteration
183,184.42082532136743,iteration
184,147.59690551386285,iteration
185,160.72743775302527,iteration
186,204.5210088333987,iteration
187,204.5210088333987,iteration
188,190.5881934839671,iteration
189,138.00170254137117,iteration
190,138.00170254137117,iteration
191,99.26332471006748,iteration
192,138.32853401652858,iteration
193,138.32853401652858,iteration
194,116.8025240988602,iteration
195,143.83147704578863,iteration
196,143.83147704578863,iteration
197,92.98406026120207,iteration
